Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
B06,26LL260323I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.218917355,0,17216,0,17216,0,,,,,,,,3148.271973,,,,54.2368334,SC2,,,,,,,,,,,,894.8549247,894.8549247,,,,,0.100027941,0,,,,,,,,,,,,,No,0,0,0,17216,0,2,0,17214,0,0,0,0
C06,26LL260323I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.225008383,0,16750,0,16750,0,0,,,,,2,,3148.271973,,,,53.0642125,SC2,,,,,,,,,,,,896.67747,896.67747,,,,,0.102810919,0,,,,,,,,,,,,,No,0,0,0,16750,0,3,0,16747,0,0,0,0
A06,26LL260323I,,,,FluB,0.071925074,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,1.438501477,,,0.343551248,0.00302077,17489,1,17488,0,2,,,8.69561802,0,2,,2458.194092,,,,25.75088767,SC2,1,,,4.34780901,0,50,,,133.6952252,0,4411.407715,786.0114966,786.2187924,,,,,0.179029137,0.019491287,,,5.13688369,0,,,2.568441845,0,,,89.21104613,10.78895387,No,0,1,0,17488,0,0,1,17488,0,0,0,0
B06,26LL260323I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.218917355,0,17216,0,17216,0,,,,,,,,2458.194092,,,,25.90501111,SC2,,,,,,,,,,,,799.5969592,799.5969592,,,,,0.100027941,0,,,,,,,,,,,,,No,0,0,0,17216,0,2,0,17214,0,0,0,0
C06,26LL260323I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.225008383,0,16750,0,16750,0,0,,,,,2,,2458.194092,,,,25.78928839,SC2,,,,,,,,,,,,800.953342,800.953342,,,,,0.102810919,0,,,,,,,,,,,,,No,0,0,0,16750,0,3,0,16747,0,0,0,0
A06,26LL260323I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.215499818,0,17489,0,17489,0,0,,,,,2,,1986.62207,,,,23.32433264,SC2,,,,,,,,,,,,762.294811,762.294811,,,,,0.098466456,0,,,,,,,,,,,,,No,0,1,0,17488,0,0,1,17488,0,0,0,0
B06,26LL260323I,,,,RSV,0.146135539,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,2.922710896,,,0.468132019,0.022138441,17216,2,17214,0,,,,,,,,1986.62207,,,3.774879055,22.91937885,SC2,,,,,,100,,,174.9021616,25.09783838,3051.134277,767.7938488,768.0591068,,,,,0.280960619,0.063420735,,,,,,,,,,,134.2243721,65.77562789,No,0,0,0,17216,0,2,0,17214,0,0,0,0
C06,26LL260323I,,,,RSV,0.225308821,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,4.506176472,,,0.597231805,0.053469643,16750,3,16747,0,6.000358582,,,21.94382181,0,2,,1986.62207,,,2.874930616,22.4790044,SC2,3.000179175,,,10.9719109,0,75.00111979,,,124.8199799,25.18225973,3212.588379,768.416064,768.8538262,,,,,0.385753334,0.11708045,,,13.55581651,0,,,6.777908254,0,,,98.60981145,51.39242813,No,0,0,0,16750,0,3,0,16747,0,0,0,0
A06,26LL260323I,,,,SC2,0.071925074,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,1.438501477,,,0.343551248,0.00302077,17489,1,17488,,,,,,,,,4765.88623,,,,73.49874814,,,,,,,,,,,,8456.137695,624.1188446,624.56667,,,,,0.179029137,0.019491287,,,,,,,,,,,,,No,0,1,0,17488,0,0,1,17488,0,0,0,0
B06,26LL260323I,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.218917355,0,17216,0,17216,,,,,,,,,4765.88623,,,,71.60610656,,,,,,,,,,,,,643.3065806,643.3065806,,,,,0.100027941,0,,,,,,,,,,,,,No,0,0,0,17216,0,2,0,17214,0,0,0,0
