Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmBBbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
A06,26LL260401I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.232433036,0,16215,0,16215,0,0,,,,,2,,2645.484863,,,,50.95383593,SC2,,,,,,,,,,,,731.5558994,731.5558994,,,,,0.106203213,0,,,,,,,,,,,,,No,0,0,0,16215,0,0,0,16215,0,0,0,0
B06,26LL260401I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.228348717,0,16505,0,16505,0,0,,,,,2,,2645.484863,,,,49.10243514,SC2,,,,,,,,,,,,742.4567782,742.4567782,,,,,0.104337104,0,,,,,,,,,,,,,No,0,0,0,16505,0,0,0,16505,0,0,0,0
C06,26LL260401I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.228986979,0,16459,0,16459,0,0,,,,,2,,2645.484863,,,,51.71713692,SC2,,,,,,,,,,,,745.2063058,745.2063058,,,,,0.104628719,0,,,,,,,,,,,,,No,0,0,0,16459,0,2,0,16457,0,0,0,0
A06,26LL260401I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.232433036,0,16215,0,16215,0,0,,,,,2,,2387.959961,,,,29.12829017,SC2,,,,,,,,,,,,687.5134647,687.5134647,,,,,0.106203213,0,,,,,,,,,,,,,No,0,0,0,16215,0,0,0,16215,0,0,0,0
B06,26LL260401I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.228348717,0,16505,0,16505,0,0,,,,,2,,2387.959961,,,,28.36636976,SC2,,,,,,,,,,,,691.2919352,691.2919352,,,,,0.104337104,0,,,,,,,,,,,,,No,0,0,0,16505,0,0,0,16505,0,0,0,0
C06,26LL260401I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.228986979,0,16459,0,16459,0,0,,,,,2,,2387.959961,,,,30.13450865,SC2,,,,,,,,,,,,693.568985,693.568985,,,,,0.104628719,0,,,,,,,,,,,,,No,0,0,0,16459,0,2,0,16457,0,0,0,0
A06,26LL260401I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.232433036,0,16215,0,16215,0,0,,,,,2,,1605.351196,,,,21.07066738,SC2,,,,,,,,,,,,649.7903494,649.7903494,,,,,0.106203213,0,,,,,,,,,,,,,No,0,0,0,16215,0,0,0,16215,0,0,0,0
B06,26LL260401I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.228348717,0,16505,0,16505,0,0,,,,,2,,1605.351196,,,,20.23590314,SC2,,,,,,,,,,,,656.2111763,656.2111763,,,,,0.104337104,0,,,,,,,,,,,,,No,0,0,0,16505,0,0,0,16505,0,0,0,0
C06,26LL260401I,,,,RSV,0.15285717,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,3.05714345,,,0.489667058,0.023156665,16459,2,16457,0,0.444349945,,,1.184459742,0,2,,1605.351196,,,1.276950046,21.72847368,SC2,0.222174975,,,0.592229871,0,18.17865525,,,42.95284046,0,2490.220215,656.6388383,656.8616443,,,,,0.293884367,0.066337727,,,0.807169336,0.081530565,,,0.403584668,0.040765283,,,30.32354883,6.033761669,No,0,0,0,16459,0,2,0,16457,0,0,0,0
A06,26LL260401I,,,,SC2,0.465529859,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,9.31059742,,,0.951726854,0.182311997,16215,6,16209,,,,,,,,,3169.453613,,,5.070651678,45.0948639,,,,,,,,,,,,6445.644124,589.2821507,591.4491672,,,,,0.684388399,0.299238324,,,,,,,,,,,,,No,0,0,0,16215,0,0,0,16215,0,0,0,0
